FIPS,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE
28001,Mississippi,Adams County,30693,15946,14747,7943,5688,7637,8766,105,60,90,88
28025,Mississippi,Clay County,19316,9041,10275,3710,3885,5195,6254,16,28,42,32
28033,Mississippi,DeSoto County,184945,88910,96035,60433,62389,25447,30189,243,308,1357,1650
28035,Mississippi,Forrest County,74897,35322,39575,21567,22777,12689,15625,131,126,409,431
28045,Mississippi,Hancock County,47632,23239,24393,20464,21309,1919,2063,154,180,197,246
28047,Mississippi,Harrison County,208080,101683,106397,70129,71036,25288,28656,506,503,2689,3314
28049,Mississippi,Hinds County,231840,108268,123572,28054,30075,78264,91269,127,107,723,996
28059,Mississippi,Jackson County,143617,70467,73150,52234,52966,14745,16414,352,355,1593,1785
28067,Mississippi,Jones County,68098,33059,35039,22882,23465,9486,10750,228,247,145,191
28069,Mississippi,Kemper County,9742,4889,4853,1659,1666,3024,2955,164,176,4,15
28073,Mississippi,Lamar County,63343,30387,32956,23351,24571,6019,7273,129,90,425,547
28089,Mississippi,Madison County,106272,50767,55505,29892,31179,18690,21993,182,184,1455,1502
28091,Mississippi,Marion County,24573,11937,12636,7935,8405,3766,3994,35,33,42,48
28109,Mississippi,Pearl River County,55535,27314,28221,23085,23815,3320,3519,191,214,109,134
28111,Mississippi,Perry County,11973,5858,6115,4637,4794,1106,1193,33,28,13,12
28143,Mississippi,Tunica County,9632,4512,5120,1002,940,3400,4074,19,13,42,32
28163,Mississippi,Yazoo County,29690,17753,11937,7486,4535,9760,7207,169,29,111,64